feature,shap_importance
Ethanol,0.1619589683731158
Acetic acid,0.09515688055250149
" 3-Buten-1-ol, 3-methyl-",0.09095502685074877
 Ethyl Acetate,0.02477847673160173
1-Decanol,0.023904754784688995
Acetoin,0.01614152892561983
Methyl Isobutyl Ketone,0.014306006493506492
n-Tridecan-1-ol,0.008049242424242424
2-Tridecanone,0.0
Propanoic acid,0.0
"Propanoic acid, 2-methyl-",0.0
1-Octanol,0.0
2-Undecanone,0.0
"Benzoic acid, methyl ester",0.0
Butyrolactone ,0.0
" Decanoic acid, ethyl ester",0.0
"Acetic acid, decyl ester",0.0
2-Undecanol,0.0
"Butanoic acid, 3-methyl-",0.0
2-Dodecanone,0.0
Decane,0.0
"1-Heptanol, 2,4-dimethyl-,",0.0
"1,4-Butanediol",0.0
Phenylethyl Alcohol,0.0
"Acetophenone, 2'-amino-",0.0
2-Tridecanol,0.0
Tetradecanal,0.0
1-Dodecanol,0.0
Methyl tetradecanoate,0.0
 2-Pentadecanone,0.0
"Tetradecanoic acid, ethyl ester",0.0
Hexadecanal,0.0
1-Tetradecanol,0.0
n-Pentadecanol,0.0
 1-Hexadecanol,0.0
" Dodecanoic acid, ethyl ester",0.0
Pyrrole,0.0
"1H-Pyrrole, 2-methyl-",0.0
2-Nonanol,0.0
Amylene hydrate,0.0
"Butanoic acid, 2-methyl-, methyl ester",0.0
Isobutyl acetate,0.0
Methyl isovalerate,0.0
1-Propanol,0.0
Methyl thiolacetate,0.0
"Butanoic acid, 2-methyl-, ethyl ester",0.0
2-Hexanone,0.0
Ethyl isocyanide,0.0
"1-Propanol, 2-methyl-",0.0
"2-Pentanol, 2-methyl-",0.0
2-Pentanol,0.0
"1-Butanol, 3-methyl-, acetate",0.0
1 - Undecene,0.0
1-Butanol,0.0
2-Heptanone,0.0
Dodecane,0.0
"1-Butanol, 3-methyl-",0.0
 S-Methyl 3-methylbutanethioate,0.0
"2-Heptanone, 4,6-dimethyl-",0.0
2-Pentanone,0.0
"Thiocyanic acid, methyl ester",0.0
"1-Pentanol, 2-methyl-",0.0
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",0.0
"2-Heptanol, 4-methyl-",0.0
2-Nonanone ,0.0
"Propanoic acid, ethyl ester",0.0
Indole,0.0
